start_position end_position ensembl_gene_id external_gene_name gene_biotype strand mid start end
108602979 108630450 ENSG00000115665 SLC5A7 protein_coding 1 108616714.5 108602979 108630450
108863651 108881807 ENSG00000196228 SULT1C3 protein_coding 1 108872729 108863651 108881807
108905095 108926371 ENSG00000198203 SULT1C2 protein_coding 1 108915733 108905095 108926371
108994367 109004513 ENSG00000198075 SULT1C4 protein_coding 1 108999440 108994367 109004513
109065017 109125871 ENSG00000135968 GCC2 protein_coding 1 109095444 109065017 109125871
109150857 109303702 ENSG00000169756 LIMS1 protein_coding 1 109227279.5 109150857 109303702
109335937 109402267 ENSG00000153201 RANBP2 protein_coding 1 109369102 109335937 109402267
109403213 109501933 ENSG00000163006 CCDC138 protein_coding 1 109452573 109403213 109501933
109510927 109605828 ENSG00000135960 EDAR protein_coding -1 109558377.5 109605828 109510927
109745804 110262207 ENSG00000172985 SH3RF3 protein_coding 1 110004005.5 109745804 110262207
110300559 110371783 ENSG00000186522 SEPT10 protein_coding -1 110336171 110371783 110300559
110371911 110376563 ENSG00000198142 SOWAHC protein_coding 1 110374237 110371911 110376563
110550335 110615272 ENSG00000015568 RGPD5 protein_coding 1 110582803.5 110550335 110615272
