start_position end_position ensembl_gene_id external_gene_name gene_biotype strand mid start end
48675575 48790865 ENSG00000178150 ZNF114 protein_coding 1 48733220 48675575 48790865
48684027 48759203 ENSG00000105483 CARD8 protein_coding -1 48721615 48759203 48684027
48799714 48825151 ENSG00000105479 CCDC114 protein_coding -1 48812432.5 48825151 48799714
48824766 48833810 ENSG00000142227 EMP3 protein_coding 1 48829288 48824766 48833810
48835613 48867494 ENSG00000161558 TMEM143 protein_coding -1 48851553.5 48867494 48835613
48867652 48879633 ENSG00000105467 SYNGR4 protein_coding 1 48873642.5 48867652 48879633
48885827 48894810 ENSG00000105438 KDELR1 protein_coding -1 48890318.5 48894810 48885827
48898132 48948188 ENSG00000105464 GRIN2D protein_coding 1 48923160 48898132 48948188
48949030 48960279 ENSG00000105447 GRWD1 protein_coding 1 48954654.5 48949030 48960279
48958766 48969367 ENSG00000182324 KCNJ14 protein_coding 1 48964066.5 48958766 48969367
48969094 48975688 ENSG00000268465 CTC-273B12.7 protein_coding 1 48972391 48969094 48975688
48972289 48985571 ENSG00000105443 CYTH2 protein_coding 1 48978930 48972289 48985571
48988528 49016446 ENSG00000142235 LMTK3 protein_coding -1 49002487 49016446 48988528
49055332 49102682 ENSG00000088002 SULT2B1 protein_coding 1 49079007 49055332 49102682
49104067 49118111 ENSG00000105523 FAM83E protein_coding -1 49111089 49118111 49104067
49110000 49110970 ENSG00000177202 SPACA4 protein_coding 1 49110485 49110000 49110970
49118585 49122793 ENSG00000063177 RPL18 protein_coding -1 49120689 49122793 49118585
49122548 49133974 ENSG00000063176 SPHK2 protein_coding 1 49128261 49122548 49133974
49133287 49140695 ENSG00000105516 DBP protein_coding -1 49136991 49140695 49133287
49141199 49149569 ENSG00000063180 CA11 protein_coding -1 49145384 49149569 49141199
49164664 49176338 ENSG00000142233 NTN5 protein_coding -1 49170501 49176338 49164664
49199228 49209207 ENSG00000176920 FUT2 protein_coding 1 49204217.5 49199228 49209207
49215999 49222978 ENSG00000176909 MAMSTR protein_coding -1 49219488.5 49222978 49215999
49223844 49243978 ENSG00000105538 RASIP1 protein_coding -1 49233911 49243978 49223844
49244109 49250166 ENSG00000182264 IZUMO1 protein_coding -1 49247137.5 49250166 49244109
49251268 49258647 ENSG00000174951 FUT1 protein_coding -1 49254957.5 49258647 49251268
49258816 49261587 ENSG00000105550 FGF21 protein_coding 1 49260201.5 49258816 49261587
49298319 49314286 ENSG00000105552 BCAT2 protein_coding -1 49306302.5 49314286 49298319
49316274 49339935 ENSG00000087076 HSD17B14 protein_coding -1 49328104.5 49339935 49316274
49340354 49371889 ENSG00000105559 PLEKHA4 protein_coding -1 49356121.5 49371889 49340354
49375649 49379314 ENSG00000087074 PPP1R15A protein_coding 1 49377481.5 49375649 49379314
49384222 49401990 ENSG00000104804 TULP2 protein_coding -1 49393106 49401990 49384222
49403307 49426629 ENSG00000104805 NUCB1 protein_coding 1 49414968 49403307 49426629
49436939 49448226 ENSG00000104808 DHDH protein_coding 1 49442582.5 49436939 49448226
49458072 49465055 ENSG00000087088 BAX protein_coding 1 49461563.5 49458072 49465055
49468558 49470135 ENSG00000087086 FTL protein_coding 1 49469346.5 49468558 49470135
49471382 49496567 ENSG00000104812 GYS1 protein_coding -1 49483974.5 49496567 49471382
49496705 49519252 ENSG00000183207 RUVBL2 protein_coding 1 49507978.5 49496705 49519252
49519237 49520338 ENSG00000104826 LHB protein_coding -1 49519787.5 49520338 49519237
49526126 49527590 ENSG00000104827 CGB protein_coding -1 49526858 49527590 49526126
49526210 49540152 ENSG00000267335 CTB-60B18.6 protein_coding -1 49533181 49540152 49526210
49535169 49536495 ENSG00000104818 CGB2 protein_coding 1 49535832 49535169 49536495
49538831 49552006 ENSG00000267631 CGB1 protein_coding -1 49545418.5 49552006 49538831
49547141 49548568 ENSG00000189052 CGB5 protein_coding 1 49547854.5 49547141 49548568
49550895 49552400 ENSG00000213030 CGB8 protein_coding -1 49551647.5 49552400 49550895
49557531 49562117 ENSG00000196337 CGB7 protein_coding -1 49559824 49562117 49557531
49559050 49568333 ENSG00000225950 NTF4 protein_coding -1 49563691.5 49568333 49559050
49570675 49576198 ENSG00000104848 KCNA7 protein_coding -1 49573436.5 49576198 49570675
49588676 49611862 ENSG00000104852 SNRNP70 protein_coding 1 49600269 49588676 49611862
49617581 49621717 ENSG00000104863 LIN7B protein_coding 1 49619649 49617581 49621717
49621655 49622397 ENSG00000221916 C19orf73 protein_coding -1 49622026 49622397 49621655
49622646 49654283 ENSG00000177380 PPFIA3 protein_coding 1 49638464.5 49622646 49654283
49654455 49658681 ENSG00000130528 HRC protein_coding -1 49656568 49658681 49654455
49660998 49715093 ENSG00000130529 TRPM4 protein_coding 1 49688045.5 49660998 49715093
